Smiles,Standard Type,Standard Value,Standard Units,Molecule ChEMBL ID
O=C(CCc1ccccc1)n1nc(-c2ccco2)nc1SCc1ccccc1,Potency,10000.0,nM,CHEMBL1405760
Cc1cccc2nc(CSc3ccc(Cl)cc3)cn12,Potency,4466.8,nM,CHEMBL1461001
CC(C)Oc1ccc(C(=O)NC2CCCCC2)cc1,Potency,4466.8,nM,CHEMBL1422015
CCCOc1ccc(-c2n[nH]c(S)n2)cc1,Potency,3548.1,nM,CHEMBL1464753
CC1CCCCN1C(=O)c1cc(-c2ccc(Cl)c(Cl)c2)on1,Potency,5623.4,nM,CHEMBL1464644
Cc1ccc(Cc2nc(-c3cccc(C)c3)no2)cc1,Potency,7943.3,nM,CHEMBL1380287
Cc1ccc2c(c1N)C(=O)c1ccccc1C2=O,Potency,10000.0,nM,CHEMBL1413787
Cn1c(CCNC(=O)c2ccco2)nc2cc(NC(=O)c3ccco3)ccc21,Potency,8912.5,nM,CHEMBL1451237
COc1ccccc1N1CCN(/N=C/C(Cl)=C/c2ccccc2)CC1,Potency,3981.1,nM,CHEMBL3199642
CCc1ccc(NC(=O)c2ccc3nc(N)sc3c2)cc1,Potency,11220.2,nM,CHEMBL1568104
C#CCNC(=O)/C=C/c1ccc(C)cc1,Potency,11220.2,nM,CHEMBL1393656
CC(C)Oc1cccc(C(=O)NC(=S)Nc2ccccc2)c1,Potency,12589.3,nM,CHEMBL1507181
CC(C)C(=O)Nc1ccc(-c2csc(-c3ccccc3)n2)cc1,Potency,5011.9,nM,CHEMBL1578145
CN(C)c1ccc(/C=C2\C=Cc3ccccc32)cc1,Potency,3548.1,nM,CHEMBL1896919
N#CCCN1CCN(C(=S)c2ccc(-c3cccc(Cl)c3)o2)CC1,Potency,10000.0,nM,CHEMBL1478464
O=C(Nc1ccc(NC(=O)C2CC2)cc1)c1cccs1,Potency,10000.0,nM,CHEMBL1305223
CCc1ccc(C(=O)Cc2cc3cccc(OC)c3oc2=O)cc1,Potency,11220.2,nM,CHEMBL1609169
Cc1cc(C(=N)NOC(=O)c2ccc(Cl)cc2)no1,Potency,7943.3,nM,CHEMBL1495918
CC(=O)c1cccc(OCc2cc(C(=O)NCCC3=CCCCC3)no2)c1,Potency,3162.3,nM,CHEMBL1301280
C#CCCc1cscc1/C=[N+](\[O-])c1ccc(C(=O)OCC)cc1,Potency,6309.6,nM,CHEMBL1396393
CCOc1ccc(/C=C2\CCC(C3CCCC3)C2=O)cc1,Potency,3981.1,nM,CHEMBL1513271
COc1ccc(C(C)NC(=O)Nc2ccc(C(C)=O)cc2)cc1OC,Potency,11220.2,nM,CHEMBL1467470
Cc1ccc(C(=O)N2CCc3ccccc32)cc1,Potency,11220.2,nM,CHEMBL1371364
Fc1ccccc1COc1ccc(/C=N/n2cnnc2)cc1,Potency,10000.0,nM,CHEMBL3192631
Cc1cc(C(=O)CSc2ccc3c(c2)OCCO3)c(C)n1C1CC1,Potency,11220.2,nM,CHEMBL1425143
CC(C)(C)C(=O)N1CCN(c2nc3ccccc3s2)CC1,Potency,3162.3,nM,CHEMBL1309027
Cn1c(SCc2ccccc2)nnc1-c1c[nH]c2ccccc12,Potency,11220.2,nM,CHEMBL1440093
O=[N+]([O-])c1cc(/C=N/N2CCCCC2)ccc1Cl,Potency,11220.2,nM,CHEMBL3192279
NC(=O)C1CCN(c2nc(-c3cccc(Cl)c3)cs2)CC1.O=C(O)C(F)(F)F,Potency,3981.1,nM,CHEMBL1702464
COc1ccc(CC(=O)c2ccc(OC3OC(CO)C(O)C(O)C3O)cc2O)cc1,Potency,11220.2,nM,CHEMBL1608632
Cc1cc(C(=O)NCCc2ccccc2)ccc1[N+](=O)[O-],Potency,6309.6,nM,CHEMBL1362945
COc1ccc(OC)c(S(=O)(=O)N/N=C\c2ccc3c(c2)OCO3)c1,Potency,12589.3,nM,CHEMBL3195979
CCCC(=O)N(CCN1CCOCC1)c1nc2cc(C)c(C)cc2s1.Cl,Potency,3981.1,nM,CHEMBL1548065
C(/C=C/c1ccco1)=N/N1CCN(c2ccccc2)CC1,Potency,10000.0,nM,CHEMBL3194933
O=C(/C=C(\O)c1ccccc1)C(=O)NNC(=O)c1ccccc1,Potency,12589.3,nM,CHEMBL3195094
Nc1ccc2c(c1)C=C/C2=C\c1ccccc1,Potency,3981.1,nM,CHEMBL1890824
CC(C)C(=O)N1CCN(c2nc3ccc(Cl)cc3s2)CC1,Potency,5011.9,nM,CHEMBL1381193
CCCOc1ccc(-c2nnc(N)s2)cc1,Potency,4466.8,nM,CHEMBL1570612
COc1cccc(-c2nc(-c3ccc4c(c3)NC(=O)CO4)cs2)c1,Potency,10000.0,nM,CHEMBL1304553
COc1cccc(NC(=O)Nc2ccc(Br)cn2)c1,Potency,11220.2,nM,CHEMBL1588923
CCCCC(=O)Nc1ccc(C2C(=O)c3ccccc3C2=O)cc1,Potency,3981.1,nM,CHEMBL1882024
Clc1ccc(-c2noc(CN3CCOCC3)n2)cc1,Potency,7943.3,nM,CHEMBL1320886
O=C(NCC1CCCO1)Nc1ccc(Cl)cc1,Potency,10000.0,nM,CHEMBL1393262
O=C(CCSc1ccccc1)Nc1nc2c(s1)CCCC2,Potency,11220.2,nM,CHEMBL1460593
Cc1ccccc1-c1nc(Cc2ccccc2)no1,Potency,10000.0,nM,CHEMBL1596318
COc1cccc2sc3cc(NCCCN4CCOCC4)ccc3c(=O)c12,Potency,10000.0,nM,CHEMBL1718507
COCCn1c(C)cc(C(=O)CN2C(=O)NC3(CCCCCC3)C2=O)c1C,Potency,5623.4,nM,CHEMBL1436421
CC1CCN(C(=O)COC(=O)c2c[nH]c3ccccc23)CC1,Potency,7079.5,nM,CHEMBL1476907
Cc1cc(C)nc(NC(=O)/C=C/c2ccc(Cl)cc2Cl)c1,Potency,6309.6,nM,CHEMBL1605940
Cc1cnc(NC(=O)c2sc(Nc3ccccc3)nc2N)o1,Potency,12589.3,nM,CHEMBL1539128
CC(=O)N1N=C(c2ccc(C)cc2)CC1c1ccco1,Potency,12589.3,nM,CHEMBL1607720
NC(=NOC(=O)c1cccc([N+](=O)[O-])c1)c1cccc([N+](=O)[O-])c1,Potency,7079.5,nM,CHEMBL1341010
Nc1nc(-c2ccccc2Cl)cs1,Potency,10000.0,nM,CHEMBL1703118
CCOC(=O)c1c(C)[nH]c(/C=N/c2ccc(OC)cc2)c1O,Potency,6309.6,nM,CHEMBL3190842
COc1ccc(C(=O)NCCSC2CCCCC2)cc1,Potency,1778.3,nM,CHEMBL1588516
COc1cc(/C=N/N2CCOCC2)ccc1OCc1ccccc1,Potency,7943.3,nM,CHEMBL3199086
O=c1oc2ccccc2n1CSc1nc2ccccc2s1,Potency,12589.3,nM,CHEMBL1568261
Cc1cccnc1NC(=S)NC(=O)c1oc2ccccc2c1C,Potency,2818.4,nM,CHEMBL1381584
COc1cc(C=O)ccc1OCCCOc1ccccc1[N+](=O)[O-],Potency,7079.5,nM,CHEMBL1451423
C1=C(CCNc2[nH]cnc3ncnc2-3)CCCC1,Potency,6309.6,nM,CHEMBL1350429
c1ccc(-n2nnc(-c3nccs3)n2)cc1,Potency,2818.4,nM,CHEMBL1710533
Nc1n[nH]c(SCC(=O)Nc2ccc(OCc3ccccc3)cc2)n1,Potency,10000.0,nM,CHEMBL1502173
Cc1cc(C(=O)COC(=O)c2ccc(O)cc2)c(C)n1CC(F)(F)F,Potency,7943.3,nM,CHEMBL1474146
O=C(NCCc1ccccc1)Oc1ccc(Cl)cc1,Potency,12589.3,nM,CHEMBL1579150
CC(C)(C)S(=O)(=O)c1cnc(-c2ccc(Cl)cc2)nc1N,Potency,2818.4,nM,CHEMBL1310343
c1ccc(-c2ccc(-c3csnn3)cc2)cc1,Potency,7943.3,nM,CHEMBL1329596
CCCCN1C(=O)C(=O)N(c2ccccc2)C1=S,Potency,5011.9,nM,CHEMBL1579718
COc1ccc(NC(C)C(=O)N/N=C/c2ccccc2OCc2ccc(Br)cc2)cc1,Potency,3981.1,nM,CHEMBL3192223
O=C(NCC1CCCO1)c1ccc(COc2ccccc2)cc1,Potency,11220.2,nM,CHEMBL1894428
COC(=O)Cn1c(C)nc2c(sc3nc(C)cc(C)c32)c1=O,Potency,6309.6,nM,CHEMBL1478972
Cn1c(CNc2nc3ccccc3n2C)nc2ccccc21,Potency,10000.0,nM,CHEMBL1445456
CNc1ncc(C(=O)c2ccc(Cl)cc2)s1,Potency,4466.8,nM,CHEMBL1574509
O=C(Cn1cc(C(=O)C2CC2)c2ccccc21)NCc1ccccc1,Potency,12589.3,nM,CHEMBL1409470
Cc1ccccc1Nc1nc(N)nc(COC(=O)c2ccco2)n1,Potency,3981.1,nM,CHEMBL1715371
CCC(=O)Nc1ccc2c(c1)ncn2-c1ccc(C)cc1,Potency,1995.3,nM,CHEMBL1491135
COc1ccc2sc(NC(=O)CC(C)C)nc2c1,Potency,5623.4,nM,CHEMBL1390244
c1ccc(-c2cnnc(-c3ccccn3)n2)cc1,Potency,4466.8,nM,CHEMBL1732668
Fc1ccc(OCc2nc(-c3cccs3)no2)cc1,Potency,7943.3,nM,CHEMBL1528475
CCc1nnc(NC(=O)c2ccc(OC)cc2)s1,Potency,7079.5,nM,CHEMBL1423879
O=C(Nc1ccc2ncccc2c1)c1cc(Cl)ccc1Cl,Potency,7943.3,nM,CHEMBL1557418
CCN(c1ccccc1)c1ncnc2c1cnn2-c1ccccc1,Potency,5011.9,nM,CHEMBL1571742
Oc1c(Br)cc(/C=N/Nc2nncc3ccccc23)cc1Br,Potency,8912.5,nM,CHEMBL3198382
O=C(NCc1ccc(F)cc1)c1c2c(nc3ccccc13)CCC2,Potency,14125.4,nM,CHEMBL1523644
O=C(CSc1nc2ccccc2[nH]1)c1ccccc1F,Potency,1995.3,nM,CHEMBL1425629
CN(C)/N=C/c1ccc(OS(=O)(=O)c2ccccc2)cc1,Potency,10000.0,nM,CHEMBL3212292
Cc1[nH]c2ccccc2c1C(=O)/C(C#N)=c1\s/c(=C/c2ccccn2)c(=O)n1-c1ccccc1F,Potency,11220.2,nM,CHEMBL1710699
O=C(Nc1ccc(C(=O)N2CCOCC2)cc1)Nc1cccc(Cl)c1,Potency,11220.2,nM,CHEMBL1530583
O=C(NCc1ccco1)c1sc2cc(F)ccc2c1Cl,Potency,12589.3,nM,CHEMBL1543986
O=C(CCC(=O)c1ccc[nH]1)c1ccc(Cl)cc1,Potency,7079.5,nM,CHEMBL1340433
C=CCn1c(N)c(C(=O)NCCC2=CCCCC2)sc1=S,Potency,12589.3,nM,CHEMBL1582677
CCOC(=O)CSc1nc2ccc(C)cc2cc1C#N,Potency,3981.1,nM,CHEMBL1486531
Cc1ccc2oc(C(=O)N(C)Cc3ccon3)c(C)c2c1,Potency,8912.5,nM,CHEMBL1497091
O=C(CCc1ccccc1)Nc1ccc2ccccc2n1,Potency,7079.5,nM,CHEMBL1306439
CCCCN1C(=O)/C(=C/C=C2\SCCN2C)SC1=S,Potency,7079.5,nM,CHEMBL1480005
CC1CC1C(=O)Nc1ccc(-c2ccccc2)cc1,Potency,2511.9,nM,CHEMBL1468327
O=C(CSc1nnnn1Cc1ccccc1)c1ccccc1,Potency,12589.3,nM,CHEMBL1449486
CN(C)S(=O)(=O)c1ccc(C(=O)Nc2ccc3ncccc3c2)cc1,Potency,12589.3,nM,CHEMBL1325485
COc1ccc(Cc2nnc(-c3ccccc3)o2)cc1,Potency,12589.3,nM,CHEMBL1384663
CCOc1ccc(Nc2nc3ccccc3n2C)cc1,Potency,2511.9,nM,CHEMBL1733810
O=C(NCC(=O)N1CCCCC1)c1sc2ccccc2c1Cl,Potency,4466.8,nM,CHEMBL1513181
CCOc1ccc(Nc2cc(C)c3ccccc3n2)cc1,Potency,10000.0,nM,CHEMBL1372530
CCOC(=O)c1cc2c(=O)c3cc(C)ccc3oc2nc1C,Potency,11220.2,nM,CHEMBL1448380
Clc1ccc(-c2nnc(-c3ccc4ccccc4c3)o2)cc1,Potency,1995.3,nM,CHEMBL1736665
CN(C)CCCNc1cc(C(C)(C)C)nc2c(-c3ccccc3)cnn12,Potency,5623.4,nM,CHEMBL1391048
CCCC(=O)Nc1nnc(-c2ccc3c(c2)OCCO3)o1,Potency,6309.6,nM,CHEMBL1443561
O=C(c1ccco1)N1CCN(c2ccc(N3CCCCC3)nn2)CC1,Potency,10000.0,nM,CHEMBL1396714
CSc1ccccc1OCc1cc(C(=O)N(C)Cc2nonc2C)no1,Potency,11220.2,nM,CHEMBL1311653
S=C(NCCc1ccccc1)N1CCc2ccccc2C1,Potency,10000.0,nM,CHEMBL1304331
N#CCCCc1cn(-c2nc3ccccc3s2)nn1,Potency,10000.0,nM,CHEMBL2137008
COc1ccc2c(c1)CCc1c(C(=O)NCc3ccco3)noc1-2,Potency,6309.6,nM,CHEMBL1327563
OCc1ccc(N=Nc2ccccc2)cc1,Potency,3162.3,nM,CHEMBL1514091
CC(C)NC(=O)c1ccc(-c2ccccc2C(F)(F)F)o1,Potency,11220.2,nM,CHEMBL1536233
Cc1nc(-c2ccc(NC(=O)c3ccc(Br)o3)cc2)cs1,Potency,11220.2,nM,CHEMBL1576009
O=[N+]([O-])c1ccc(N2CCc3ccccc3C2)nc1,Potency,11220.2,nM,CHEMBL1310440
CCn1ccc(C(=O)Nc2ccc(Cl)cn2)n1,Potency,2511.9,nM,CHEMBL1490005
Cc1ccc(OCC(=O)O/N=C(\N)c2ccccn2)cc1,Potency,6309.6,nM,CHEMBL1404733
CC(C)Nc1oc(-c2cccc3ccccc23)nc1C#N,Potency,14125.4,nM,CHEMBL1605218
O=C(COc1ccc2c(c1)OCO2)Nc1nccs1,Potency,3162.3,nM,CHEMBL1390421
O=C(OCc1ccccc1F)c1ccc2c(c1)-c1ccccc1C2=O,Potency,7079.5,nM,CHEMBL1540434
O=C(c1ccc(-c2ccccc2Cl)o1)N1CCCC(C(F)(F)F)C1,Potency,12589.3,nM,CHEMBL1476097
COc1ccc(C(=O)NC(=O)Nc2ncccc2C)cc1,Potency,2818.4,nM,CHEMBL1480202
N=C(NOC(=O)COc1ccc(Cl)cc1Br)c1ccncc1,Potency,2511.9,nM,CHEMBL1443435
O=C1C2C3C=CC(CC3)C2C(=O)N1/N=C/c1c[nH]c2ccccc12,Potency,8912.5,nM,CHEMBL3191591
CCOCC(=O)Nc1c(C(=O)Nc2ccc3c(c2)OCCO3)oc2ccccc12,Potency,1995.3,nM,CHEMBL1468106
Cc1ccc(C(=O)N/C(=C\c2ccccc2)C(=O)OCc2ccccc2)cc1,Potency,7943.3,nM,CHEMBL1344988
COc1cccc(NC(=O)Nc2cccs2)c1,Potency,12589.3,nM,CHEMBL1402174
Clc1cccc(CNc2ccn3nc(-c4cccs4)cc3n2)c1,Potency,8912.5,nM,CHEMBL2132351
Cc1ccc(/C=C2/NC(=O)N(c3ccccc3)C2=O)o1,Potency,7943.3,nM,CHEMBL1521317
COc1ccc(-c2csc(NC(=O)c3ccccc3F)c2C(=O)O)cc1,Potency,6309.6,nM,CHEMBL1499370
CCCOC1CCCN(C(=O)c2cc(COc3cncc(Cl)c3)on2)C1,Potency,5623.4,nM,CHEMBL1466758
Cc1nc2ccc(NC(=O)Cc3ccsc3)cc2s1,Potency,11220.2,nM,CHEMBL1341628
Cc1ccccc1-n1c(C)cc(/C=C2\NC(=O)NC2=O)c1C,Potency,10000.0,nM,CHEMBL1410697
Cc1oc2cc3oc(=O)c(CCC(=O)NC4CC4)c(C)c3cc2c1C,Potency,6309.6,nM,CHEMBL1712183
CC(=O)c1ccc(NC(=O)N2CCc3ccccc3C2)cc1,Potency,11220.2,nM,CHEMBL1480701
CSc1cccc(NC(=O)c2sc3nc4n(c(=O)c3c2C)CCC4)c1,Potency,8912.5,nM,CHEMBL1543015
CCOC(=O)c1cnn(-c2ccc(C)cc2)c1N,Potency,11220.2,nM,CHEMBL1536228
O=C(NCCc1ccccc1)c1cccc(NC(=O)C2CC2)c1,Potency,6309.6,nM,CHEMBL1727638
O=C(CSc1nnc(-c2cccnc2)o1)Nc1cccc(F)c1,Potency,10000.0,nM,CHEMBL1316650
COc1ccc(C(=O)O/N=C(\N)c2ccc(Cl)cc2)cc1,Potency,2511.9,nM,CHEMBL1534200
Cn1c(-c2cccs2)nc2ccccc21,Potency,7943.3,nM,CHEMBL1383594
COCCn1c(C)cc(/C=C2/NC(=O)N(c3cccc(Cl)c3)C2=O)c1C,Potency,7943.3,nM,CHEMBL1303472
Cc1ccccc1CSCc1nc(N)nc(Nc2ccccc2C)n1,Potency,11220.2,nM,CHEMBL1602071
O=C(Cc1cccs1)Nc1ccc(-c2nc3ccccc3[nH]2)cc1,Potency,5623.4,nM,CHEMBL1566633
CCC(=O)N1CCC(c2ccc(OC)cc2)=N1,Potency,11220.2,nM,CHEMBL1310615
Nc1c(C(=O)Nc2ccc3c(c2)OCCO3)nnn1Cc1ccccc1,Potency,4466.8,nM,CHEMBL1516029
CCOc1ccc(C(=O)Nc2cccc(-c3ccc(N4CCOCC4)nn3)c2)cc1OCC,Potency,11220.2,nM,CHEMBL1594886
Cc1ccc(NC(=O)CSCc2ccco2)cc1,Potency,10000.0,nM,CHEMBL1534171
CCNC(=S)N/N=C/c1cccc(C)c1,Potency,10000.0,nM,CHEMBL3212894
O=C(c1cnn(-c2ccccc2)c1)c1cc(F)ccc1O,Potency,10000.0,nM,CHEMBL1444116
CCOc1ccc(NC(=O)Nc2cc(C)ccc2F)cc1,Potency,2511.9,nM,CHEMBL1557468
Nc1ccc2c(c1)C(=O)N(c1ccc3ccccc3c1)C2=O,Potency,11220.2,nM,CHEMBL1725157
O=C(NCC1CCOCC1)c1ccc2nc(Cc3cccc(Cl)c3)oc2c1,Potency,10000.0,nM,CHEMBL1348671
CC(=O)c1cccc(NC(=O)c2ccc3c(c2)CCCC3)c1,Potency,3548.1,nM,CHEMBL1539588
O=C(CSc1nnc(NC(=O)c2ccccc2F)s1)NCc1ccc(F)cc1,Potency,5011.9,nM,CHEMBL1511843
Nc1[nH]ncc1N=Nc1ccc(Cl)cc1,Potency,11220.2,nM,CHEMBL1309315
CC1CCc2c(nc3sc4c(c3c2N)CCCC4)C1,Potency,2818.4,nM,CHEMBL1442120
COc1ccc(C(=N)NOC(=O)c2cccs2)cc1OC,Potency,8912.5,nM,CHEMBL1520691
O=C(N/N=C/C(Cl)=C/c1ccccc1)c1ccccc1F,Potency,10000.0,nM,CHEMBL1966080
COc1ccccc1C(=O)Nn1cnc2ccccc2c1=O,Potency,10000.0,nM,CHEMBL1343475
O=c1c2ccccc2nc2ccc(NCc3ccco3)nn12,Potency,3548.1,nM,CHEMBL1558607
CC(=O)NCCC1CCCCN1C(=O)c1cc(COc2cc(C)ccc2C)on1,Potency,7079.5,nM,CHEMBL1608900
COc1cc2cccc(OC)c(=O)c2c(O)c1OC,Potency,10000.0,nM,CHEMBL1508229
Cc1ccsc1C(=O)OCC(=O)N1CCc2ccccc2C1,Potency,7943.3,nM,CHEMBL1504704
COC(=O)c1sc(-c2ccc(Cl)cc2)cc1N,Potency,3981.1,nM,CHEMBL1384146
Cc1nc(-c2ccccc2)sc1C(=O)/C=C/N(C)C,Potency,11220.2,nM,CHEMBL1439118
CN(C)c1ccc(/C=C(/C#N)C(=O)NCc2ccccc2)o1,Potency,10000.0,nM,CHEMBL1603136
Cc1ccc(CC(=O)N/N=C/c2ccc3c(c2)OCO3)cc1,Potency,8912.5,nM,CHEMBL3211535
CCOC(=O)c1ccc(NC(O)=C2C(=O)NC(=O)NC2=O)cc1,Potency,12589.3,nM,CHEMBL1528901
Cc1cc(-c2ccc(/N=N\c3ccc4c(S(=O)(=O)O)cc(S(=O)(=O)O)c(N)c4c3O)c(C)c2)ccc1/N=N\c1ccc2c(S(=O)(=O)O)cc(S(=O)(=O)O)c(N)c2c1O,Potency,31622.8,nM,CHEMBL1607905
O=c1oc2c(CN3CCCCCC3)c(O)ccc2cc1-c1nc2ccccc2[nH]1,Potency,31622.8,nM,CHEMBL1517390
Cc1csc(SCC(=O)Nc2sccc2C(N)=O)n1,Potency,6309.6,nM,CHEMBL1580875
N#Cc1ccc(C2NC(c3ccccc3)=NO2)cc1,Potency,2511.9,nM,CHEMBL1353222
C1=C(c2cc3ccccc3cn2)CCCC1,Potency,10000.0,nM,CHEMBL1486513
O=C(/C=C/Nc1ccccc1)c1ccc(Oc2ncccn2)cc1,Potency,3548.1,nM,CHEMBL1309731
Cc1nc(SCC(=O)Nc2ccc3c(c2)OCO3)c(C#N)c2c1CCCC2,Potency,7079.5,nM,CHEMBL1418583
Cc1ccc(-c2noc(CN3CCCCC3)n2)cc1,Potency,2511.9,nM,CHEMBL1448751
O=C1c2ccccc2NC(c2ccccc2O)N1c1ccc(F)cc1,Potency,3981.1,nM,CHEMBL1508822
CCCOc1ccc(-c2csc(N)n2)cc1[N+](=O)[O-],Potency,7943.3,nM,CHEMBL1430255
O=C(N/N=C/c1ccccn1)NC12CC3CC(CC(C3)C1)C2,Potency,3981.1,nM,CHEMBL3198867
O=C(Nc1ccccc1O)c1ccc(NC(=O)C2CC2)cc1,Potency,1778.3,nM,CHEMBL1537451
O=C(CSc1ccccc1C(=O)O)c1ccc(Cl)cc1,Potency,10000.0,nM,CHEMBL1426702
CN(C(=O)c1ccco1)c1nc(-c2ccc(F)cc2)cs1,Potency,4466.8,nM,CHEMBL1410219
COC(=O)N/N=C(C)/C=C/c1ccccc1,Potency,3548.1,nM,CHEMBL3211582
COc1cccc(-c2c[nH]c(C(O)c3ccccc3)n2)c1,Potency,11220.2,nM,CHEMBL2134685
CCCn1ncc2c(Nc3ccc(C)c(C)c3)ncnc21,Potency,8912.5,nM,CHEMBL1383081
Clc1ccc(-c2cc(COc3ccccc3)on2)cc1,Potency,10000.0,nM,CHEMBL1522337
COc1ccc(CNC(=S)N/N=C(/C)c2ccccc2)cc1,Potency,7079.5,nM,CHEMBL3193990
Oc1ccc(/C=N/Nc2ccc(C(F)(F)F)cn2)cc1,Potency,6309.6,nM,CHEMBL3192954
C/C(=N/NC(=O)c1cccc(N2CCCC2=O)c1)c1ccncc1,Potency,8912.5,nM,CHEMBL3193268
COc1ccc(-c2cn(Cc3ccc(C)cc3)nn2)cc1,Potency,8912.5,nM,CHEMBL1590956
CC(=O)c1ccc(NC(=O)C2(c3ccccc3)CC2(Cl)Cl)cc1,Potency,10000.0,nM,CHEMBL1438118
Cn1c(SCc2ccccc2F)nc2cccnc21,Potency,6309.6,nM,CHEMBL1467033
COc1ccc2nc3ccccc3nc2c1,Potency,12589.3,nM,CHEMBL1420181
O=C(NCCc1ccc(Cl)cc1)c1ccc(Br)s1,Potency,3548.1,nM,CHEMBL1451272
CC(C)(C)c1ccc(/C=C/C(=O)N2CCCCC2)cc1,Potency,7079.5,nM,CHEMBL1565163
CCOC(=O)c1cc2c(nc1N=C(S)NCc1ccccc1)CCCC2,Potency,4466.8,nM,CHEMBL1321064
O=C(N[C@@H](Cc1ccccc1)C(=O)NC1CCCCCC1)c1ccco1,Potency,11220.2,nM,CHEMBL1423074
O=C1c2ccccc2S(=O)(=O)N1CC1CC(c2ccc(Cl)cc2)=NO1,Potency,3162.3,nM,CHEMBL1586145
CSc1cccc(NC(=O)Nc2ccc(Cl)cc2)c1,Potency,7943.3,nM,CHEMBL1455353
O=C(Cn1ncc(N2CCCC2)c(Br)c1=O)c1ccc(Cl)cc1,Potency,1412.5,nM,CHEMBL1386956
O=C(c1ccc2c3n(nc2c1)-c1ccc(Cl)cc1CO3)N1CCOCC1,Potency,6309.6,nM,CHEMBL1501521
C/C(=N/NC(=O)c1cccs1)c1cccs1,Potency,3548.1,nM,CHEMBL3192023
Cc1cccc2[nH]c(-c3ccc(NC(=O)c4ccco4)cc3)nc12,Potency,1778.3,nM,CHEMBL1308610
CN(C)C(S)=Nc1nc2ccccc2s1,Potency,3548.1,nM,CHEMBL1489071
COC(=O)[C@@H]1CCCN1C(=O)CCc1nnc(CCC2CCCCC2)o1,Potency,11220.2,nM,CHEMBL1321224
COc1ccccc1/C=C/C=N/NC(=O)c1ccccn1,Potency,5011.9,nM,CHEMBL3191619
CCc1cc2c(=O)n(-c3ccccc3)cnc2s1,Potency,17782.8,nM,CHEMBL1507089
Cc1ccc(NC(=O)CN2CCCCCC2)c(Br)c1,Potency,11220.2,nM,CHEMBL1302780
Clc1ccc(-c2nc(CSc3ccccn3)cs2)cc1,Potency,10000.0,nM,CHEMBL2139061
CC(=O)Nc1ccc2c(c1Br)Cc1ccccc1-2,Potency,3162.3,nM,CHEMBL1722576
Fc1ccc(Cc2cn3cc(-c4ccc(Cl)cc4)nc3s2)cc1,Potency,891.3,nM,CHEMBL1493785
Sc1ncnc2sc(-c3ccccc3)cc12,Potency,11220.2,nM,CHEMBL1409776
C/C(N)=C(/C#N)C(=O)CSc1nc2ccccc2[nH]1,Potency,7943.3,nM,CHEMBL1970117
CCOC(=O)c1sc(NC(=O)C(C)(C)C)cc1C,Potency,3162.3,nM,CHEMBL1495566
Cc1ccc(-c2ccc(CCC(=O)O)n2-c2cccc(C(=O)O)c2)cc1,Potency,7079.5,nM,CHEMBL1417291
O=C(NCCSc1ccccc1)c1ccccc1Cl,Potency,2818.4,nM,CHEMBL1164527
CN(C)c1ccc(C=NN2CCCCCC2)cc1,Potency,7943.3,nM,CHEMBL1701811
Cc1ccc2oc(Nc3nc(O)cc(-c4ccccc4)n3)nc2c1,Potency,3548.1,nM,CHEMBL1427431
